ing_id	ING_NAME_ENG	ING_NAME_KR
2606	Gabexate	가벡세이트
2607	Gadobenate Dimeglumine	디메글루민가도베네이트
2608	Gadobutrol	가도부트롤
2609	Gadodiamide	가도디아미드
2610	Gadopentetate Dimeglumine	Gadopentetate Di메글루민
2611	Gadoteridol	가도테리돌
2612	Gadoversetamide	가도베르세타미드
2613	Galactosidase(Β)	Galactosidase(Β)
2614	Galantamine	갈란타민
2615	Gallamine Triethiodide	갈라민트리에티오디드
2616	Gallium Citrate	G마늘 Citrate
2617	Ganciclovir	간시클로버
2618	Ganirelix	가니렐릭스
2619	Gardenia Fruit/Glycol Salicylate/Glycyrrhizic Acid/L-Menthol/Phellodendron Bark/Tocopherol	치자/살리실산글리콜/글리시리진산/L-멘톨/황백/토코페롤
2620	Garlic	마늘
2621	Garlic Oil/Tocopherol	마늘유/토코페롤
2622	Gatifloxacin	가티플록사신
2623	Gefitinib	게피티니브
2624	Gelatin Sponge	젤라틴 Sponge
2625	Gemcitabine	젬시타빈
2626	Gemfibrozil	겜피브로질
2627	Gemifloxacin	제미플록사신
2628	Gemigliptin	제미글립틴
2629	Gemigliptin/Metformin	제미글립틴/메트포르민
2630	Gemigliptin/Rosuvastatin	제미글립틴/로수바스타틴
2631	Gentamicin	겐타마이신
2632	Gentamicin/Streptomycin	겐타마이신/스트렙토마이신
2633	Gimeracil/Oteracil/Tegafur	기메라실/오테라실/데카푸르
2634	Ginger/Papaverine/Scopolia	건강/파파베린/스코폴리아
2635	Ginkgo Biloba Leaf	은행엽엑스
2636	Ginkgo Biloba/Ginseng	은행/인삼
2637	Ginkgo Biloba/Heptaminol/Troxerutin	은행/Heptaminol/트록세루틴
2638	Ginkgo Biloba/Ticlopidine	은행/티클로피딘
2639	Ginkgo Biloba/Troxerutin	은행/트록세루틴
2640	Ginseng/Inositol/Lycium Fruit/Nicotinamide/Pyridoxine/Riboflavin	인삼/이노시톨/구기자/니코틴산아미드/피리독신/리보플라빈
2641	Ginseng/Inositol/Taurine/Thiamine/Ursodeoxycholic Acid	인삼/이노시톨/타우린/티아민/우르소데옥시콜산
2642	Glatiramer	글라티라머
2643	Glecaprevir/Pibrentasvir	글레카프레비르/피브렌타스비르
2644	Glibenclamide	글리벤클라미드
2645	Glibenclamide/Metformin	글리벤클라미드/메트포르민
2646	Gliclazide	글리클라지드
2647	Gliclazide/Metformin	글리클라지드/메트포르민
2648	Glimepiride	글리메피리드
2649	Glimepiride/Metformin	글리메피리드/메트포르민
2650	Glimepiride/Pioglitazone	글리메피리드/피오글리타존
2651	Glipizide	글리피지드
2652	Glucagon	글루카곤
2653	Glucosamine	글루코사민
2654	Glucose/Glycine/L-Alanine/L-Arginine/L-Histidine/L-Isoleucine/L-Leucine/L-Lysine/L-Methionine/L-Phenylalanine/L-Proline/L-Serine/L-Threonine/L-Tryptophan/L-Tyrosine	포도당/글리신/L-알라닌/L-아르기닌/L-히스티딘/L-이소류신/L-류신/L-리신/L-메티오닌/L-페닐알라닌/L-프롤린/L-세린/L-트레오닌/L-트립토판/L-티로신
2655	Glucose/Goldenrod Maltodextrin/Orthosiphonis Folium/Restarrow  Lactose	포도당/Goldenrod Maltodextrin/오르소시폰is Folium/Restarrow  Lactose
2656	Glucose/Potassium Chloride	포도당/염화칼륨
2657	Glutaraldehyde	Glutaraldehyde
2658	Glutathione	글루타티온
2659	Glyburide	Glyburide
2660	Glycerin	글리세린
2661	Glycerin/Hypromellose/Polyethylene Glycol 400	글리세린/히프로멜로오스/폴리에틸렌글리콜 400
2662	Glycerin/Naphazoline	글리세린/나파졸린
2663	Glycerin/Phenylephrine/Pramoxine/White Petrolatum	글리세린/페닐레프린/프라목신/백색바셀린
2664	Glycerin/Polysorbate	글리세린/폴리소르베이트
2665	Glycerin/Propylene Glycol	글리세린/프로필렌글리콜
2666	Glycerophosphate/Pyridoxine	글리세로인산/피리독신
2667	Glycine/Inositol/L-Alanine/L-Arginine/L-Aspartic Acid/L-Histidine/L-Isoleucine/L-Leucine/L-Lysine/L-Methionine/L-Phenylalanine/L-Proline/L-Threonine/L-Tryptophan/L-Valine/Nicotinamide/Pyridoxine/Riboflavin/Xylitol	글리신/이노시톨/L-알라닌/L-아르기닌/L-아스파르트산/L-히스티딘/L-이소류신/L-류신/L-리신/L-메티오닌/L-페닐알라닌/L-프롤린/L-트레오닌/L-트립토판/L-발린/니코틴산아미드/피리독신/리보플라빈/자일리톨
2668	Glycine/L-Alanine/L-Arginine/L-Aspartic Acid/L-Glutamic Acid/L-Histidine/L-Isoleucine/L-Leucine/L-Methionine/L-Phenylalanine/L-Proline/L-Serine/L-Threonine/L-Tryptophan/L-Tyrosine/L-Valine/Lysine/Magnesium Chloride/Potassium Acetate/Sodium Acetate/Sodium Hydroxide/Sodium Phosphate	글리신/L-알라닌/L-아르기닌/L-아스파르트산/L-글루탐산/L-히스티딘/L-이소류신/L-류신/L-메티오닌/L-페닐알라닌/L-프롤린/L-세린/L-트레오닌/L-트립토판/L-티로신/L-발린/리신/염화마그네슘/아세트산칼륨/아세트산나트륨/수산화나트륨/인산나트륨
2669	Glycine/L-Alanine/L-Arginine/L-Glutamic Acid/L-Glutamic Acid L-Lysine Salt/L-Histidine/L-Isoleucine/L-Leucine/L-Methionine/L-Phenylalanine/L-Proline/L-Serine/L-Threonine/L-Tryptophan/L-Valine/N-Acetyl-L-Cysteine/N-Acetyl-L-Tyrosine	글리신/L-알라닌/L-아르기닌/L-글루탐산/L-글루탐산 L-리신 Salt/L-히스티딘/L-이소류신/L-류신/L-메티오닌/L-페닐알라닌/L-프롤린/L-세린/L-트레오닌/L-트립토판/L-발린/N-아세틸-L-시스테인/N-아세틸-L-티로신
2670	Glycine/L-Alanine/L-Glutamic Acid	글리신/L-알라닌/L-글루탐산
2671	Glycol Salicylate/Glycyrrhizinic Acid/L-Menthol/Tocopherol	살리실산글리콜/글리시리진산/L-멘톨/토코페롤
2672	Glycol Salicylate/L-Menthol	살리실산글리콜/L-멘톨
2673	Glycol Salicylate/L-Menthol/Phellodendron Bark/Tocopherol	살리실산글리콜/L-멘톨/황백/토코페롤
2674	Glycol Salicylate/L-Menthol/Tocopherol	살리실산글리콜/L-멘톨/토코페롤
2675	Glycol Salicylate/L-Menthol/Tocopherol/Vanillyl Nonylamide	살리실산글리콜/L-멘톨/토코페롤/노닐산바닐아미드
2676	Glycopyrrolate	글리코피롤레이트
2677	Glycopyrronium/Indacaterol	글리코피로니움/인다카테롤
2678	Glycyl-L-Glutamin/Glycyl-L-Tyrosine/L-Alanine/L-Arginine/L-Aspartic Acid/L-Glutamicacid/L-Histidine/L-Isoleucine/L-Leucine/L-Lysine/L-Methionine/L-Phenylalanine/L-Proline/L-Serine/L-Threonine/L-Tryptophan/L-Valine	Glycyl-L-Glutamin/Glycyl-L-티로신/L-알라닌/L-아르기닌/L-아스파르트산/L-Glutamicacid/L-히스티딘/L-이소류신/L-류신/L-리신/L-메티오닌/L-페닐알라닌/L-프롤린/L-세린/L-트레오닌/L-트립토판/L-발린
2679	Glycyrrhetic Acid	글리시레틴산
2680	Glycyrrhetic Acid/Resorcinol/Sulfur	글리시레틴산/Resorcinol/황
2681	Glycyrrhiza/Guaiacolsulfonate/Liriope Tuber Fluid/Methylephedrine/Nandinae Fructus/Oriental Bezoar/Platycodon	감초/구아야콜설폰산/맥문동 Fluid/메틸에페드린/Nandinae Fructus/우황/길경
2682	Glycyrrhiza/Ibuprofen/Peony	감초/이부프로펜/작약
2683	Golimumab	골리무맙
2684	Gonadorelin	고나도렐린
2685	Goserelin	고세렐린
2686	Granisetron	그라니세트론
2687	Green Tea	Green Tea
2688	Green Tea/Orthosiphon	Green Tea/오르소시폰
2689	Griseofulvin	Griseofulvin
2690	Guaiazulene	구아야줄렌
2691	Guaifenesin	구아이페네신
2692	Guaifenesin/Pentoxyverine	구아이페네신/펜톡시베린
2693	Guanfacine	Guanfacine
2694	Guselkumab	구셀쿠맙
2695	Haemophilus Influenzae Type B-Diphtheria Crm197 Conjugated Vaccine	Haemophilus Influenzae Type B-Diphtheria Crm197 Conjugated Vaccine
2696	Halcinonide	할시노니드
2697	Haloperidol	할로페리돌
2698	Hamamelis/Phenylephrine	하마멜리스/페닐레프린
2699	Harpagophyti	하르파고피티
2700	Hedera Helicis/Primula/Thymii	헤데라헬리시스/프리물라/사향초
2701	Hederae Helicis Folia	헤데라헬리시스엽
2702	Hederae Helicis Folia/Thymi Herba	헤데라헬리시스엽/사향초
2703	Hederae helix	헤데라헬리시스
2704	Hemin	헤민
2705	Hemocoagulase	헤모코아귤라제
2706	Heparin	헤파린
2707	Heparinoids	헤파리노이드
2708	Hepatitis A Vaccine	Hepatitis A Vaccine
2709	Hepatitis B Virus Antigen	Hepatitis B Virus Antigen
2710	Heptaplatin	헵타플라틴
2711	Herba Solidaginis/Sabalis Serrulatae/Semen Hippocastani	Herba Solidaginis/Sabalis Serrulatae/Semen Hippocastani
2712	Hexoprenaline	헥소프레날린
2713	Histamine/Human Immunoglobulin	히스타민/Human Immunoglobulin
2714	Homatropin	Homatropin
2715	Honey Bee Venom	Honey Bee Venom
2716	Human Anti-Hepatitis B Immunoglobulin	Human Anti-Hepatitis B Immunoglobulin
2717	Human Antithrombin Iii	Human Anti트롬빈 Iii
2718	Human Blood Coagulation Factor Ⅸ Complex	Human Blood Coagulation Factor Ⅸ Complex
2719	Human Blood Coagulation Factor Viii	Human Blood Coagulation Factor Viii
2720	Human Chondrocyte/Transduced Human Chondrocyte	Human Chondrocyte/Transduced Human Chondrocyte
2721	Human Chorionic Gonadotrophin	Human Chorionic Gonadotrophin
2722	Human Clottable Protein/Human Thrombin	Human Clottable Protein/사람트롬빈
2723	Human Cytomegalovirus Immunoglobulin G	Human Cytomegalovirus Immunoglobulin G
2724	Human Fibrinogen	Human 피브리노겐
2725	Human Immunoglobulin G	Human Immunoglobulin G
2726	Human Insulin	Human Insulin
2727	Human Papilloma Virus Type 11 L1/Human Papilloma Virus Type 16 L1/Human Papilloma Virus Type 18 L1/Human Papilloma Virus Type 31 L1/Human Papilloma Virus Type 33 L1/Human Papilloma Virus Type 45 L1/Human Papilloma Virus Type 52 L1/Human Papilloma Virus Type 6 L1	Human Papilloma Virus Type 11 L1/Human Papilloma Virus Type 16 L1/Human Papilloma Virus Type 18 L1/Human Papilloma Virus Type 31 L1/Human Papilloma Virus Type 33 L1/Human Papilloma Virus Type 45 L1/Human Papilloma Virus Type 52 L1/Human Papilloma Virus Type 6 L1
2728	Human Papilloma Virus Type 11 L1/Human Papilloma Virus Type 16 L1/Human Papilloma Virus Type 18 L1/Human Papilloma Virus Type 6 L1	Human Papilloma Virus Type 11 L1/Human Papilloma Virus Type 16 L1/Human Papilloma Virus Type 18 L1/Human Papilloma Virus Type 6 L1
2729	Human Papilloma Virus Type 16 L1/Human Papilloma Virus Type 18 L1	Human Papilloma Virus Type 16 L1/Human Papilloma Virus Type 18 L1
2730	Human Placenta	Human Placenta
2731	Human Plasma Fraction With A Factor Xiii	Human Plasma Fraction With A Factor Xiii
2732	Human Serum Albumin	Human Serum Albumin
